Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
64186,1871,1797,1-0,9,3,7,3
64184,1969,1811,1-0,6,1,9,1
64189,727,836,1-0,10,2,6,2
64185,1866,1750,1-0,10,1,8,2
64181,1918,1869,0-1,10,1,8,2
64188,1839,1816,0-1,9,2,10,2
64193,2193,2128,0-1,8,1,5,3
64187,847,859,0-1,9,2,8,1
64192,1984,2086,0-1,9,2,8,2
64195,1760,1719,1-0,10,2,5,2
64190,1859,1885,1-0,9,2,10,2
64197,2025,1950,0-1,4,2,7,1
64196,1997,1962,0-1,7,2,8,2
64194,1868,1885,0-1,6,2,10,3
64191,1474,1440,0-1,10,2,7,3
64200,1637,1637,0-1,9,3,6,2
64201,1463,1526,0-1,7,1,7,3
64199,1860,1825,0-1,10,2,6,1
64198,1554,1613,1-0,10,2,8,1
64202,1836,1828,0-1,10,1,6,2
64205,1343,1373,1-0,10,3,8,3
64208,1704,1688,1-0,10,3,5,3
64204,1524,1592,1-0,9,1,5,3
